,account_length,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,state,area_code,international_plan,voice_mail_plan,churn
0,101.0,0.0,70.9,123.0,12.05,270.26,73.0,22.976,236.0,73.0,10.62,10.6,3.0,2.86,3.0,HI,510.0,no,no,no
1,137.0,0.0,223.6,86.0,37.912,244.8,139.0,20.81,94.2,81.0,4.24,9.5,7.0,2.57,0.0,MT,510.0,no,no,no
2,103.0,29.0,294.7,95.0,40.878,237.3,105.0,20.17,300.3,127.0,13.51,13.7,4.8,3.7,1.0,OH,408.0,no,yes,no
3,99.0,33.2,216.8,123.0,36.86,126.4,88.0,10.74,220.6,82.0,9.93,9.0,2.0,2.432,1.0,NM,415.0,no,no,no
4,108.0,0.0,197.4,78.0,33.56,124.0,101.0,10.54,204.5,107.0,9.2,7.7,4.0,2.08,2.0,SC,415.0,no,no,no
5,117.0,0.0,202.52,85.0,38.51,141.6,68.0,12.913999999999998,223.0,90.0,10.04,6.9,5.0,2.9240000000000004,1.0,IA,415.0,no,no,no
6,63.0,32.0,218.9,82.4,37.21,214.3,125.0,18.22,260.3,120.0,11.71,12.9,3.0,3.48,1.0,ND,415.0,no,yes,no
7,94.0,20.2,157.5,97.0,26.78,224.5,112.0,19.08,310.8,106.0,13.99,11.1,6.0,3.0,0.0,LA,408.0,no,no,no
8,138.0,0.0,89.1,117.0,15.15,126.8,98.8,10.78,190.5,105.2,8.714,9.9,4.0,2.67,2.0,MO,510.0,no,no,no
9,128.0,43.0,177.33999999999995,89.0,30.23,147.3,102.2,12.52,194.2,92.0,8.74,11.9,4.6,3.21,0.0,TX,415.0,no,yes,no
10,113.0,39.0,209.8,77.0,35.67,233.74,90.0,13.95,159.7,100.0,7.19,9.0,4.0,2.43,1.0,AR,510.0,no,yes,no
11,140.0,0.0,93.2,109.0,15.84,197.6,116.0,16.8,219.8,94.0,9.89,10.5,2.0,2.84,1.0,TX,415.0,no,no,no
12,102.0,0.0,228.1,104.2,38.78,156.0,97.0,13.26,227.9,124.0,10.26,10.6,9.0,2.86,1.0,ME,415.0,no,no,no
13,108.0,12.8,112.6,86.0,19.14,114.9,101.0,9.77,177.8,119.0,8.0,7.2,6.0,1.94,3.0,ND,415.0,no,no,no
14,60.0,0.0,207.3,77.0,35.24,207.9,105.0,17.67,108.2,89.0,4.87,12.9,5.0,3.48,1.0,DE,408.0,no,no,no
15,96.0,0.0,208.1,93.0,35.38,189.2,107.0,16.08,279.6,90.0,12.58,7.4,2.0,2.0,1.0,MN,408.0,no,no,no
16,178.0,22.0,112.8,66.0,19.18,232.6,100.0,19.77,194.8,119.0,8.77,14.3,3.0,3.86,1.0,KS,415.0,no,yes,no
17,75.0,0.0,225.3,124.0,33.78,228.0,81.0,19.38,254.3,106.0,11.44,11.7,3.0,3.16,1.0,MN,415.0,no,no,no
18,106.0,25.0,169.4,105.0,28.8,240.5,108.0,20.44,159.4,114.0,7.17,12.96,5.0,3.75,4.0,NC,415.0,no,yes,no
19,158.0,0.0,161.0,121.0,32.86,208.1,97.0,17.218,228.1,99.0,10.26,7.1,9.0,1.92,1.0,HI,510.0,no,no,no
20,111.0,35.0,161.2,142.0,27.4,159.1,104.0,15.233999999999998,167.9,98.0,7.56,14.7,5.0,3.97,1.0,NV,415.0,no,yes,no
21,102.0,0.0,102.06,88.0,16.25,198.5,106.0,14.25,177.3,95.0,7.98,9.8,2.0,2.65,3.0,CO,510.0,no,no,no
22,92.0,25.0,79.8,98.6,13.57,313.6,120.0,26.66,135.5,104.0,6.1,9.3,8.0,2.51,2.0,TN,510.0,no,yes,no
23,42.0,31.0,170.8,101.0,29.04,233.4,105.0,19.84,174.2,121.0,7.84,11.0,3.0,2.97,2.0,DE,415.0,no,yes,no
24,69.0,0.0,229.2,111.0,38.96,165.3,104.0,14.05,235.1,80.0,10.58,5.2,5.0,1.4,1.0,OH,415.0,no,no,no
25,117.0,38.0,259.3,94.0,44.08,245.6,71.0,18.156,269.3,125.0,12.12,9.2,1.0,2.48,3.0,OR,415.0,no,yes,no
26,76.0,0.0,212.6,110.0,36.14,172.7,97.0,14.68,186.3,78.0,8.38,10.1,5.0,2.73,0.0,NE,415.0,no,yes,no
27,72.0,0.0,101.0,110.0,17.17,240.0,70.0,20.4,333.5,105.0,15.01,11.1,6.0,3.0,0.0,ID,415.0,yes,no,no
28,115.0,6.0,184.68,125.0,23.82,157.9,100.0,15.732,249.4,96.0,11.22,10.1,3.0,2.73,1.0,WY,415.0,yes,yes,no
29,68.0,0.0,150.4,106.0,25.57,192.0,131.0,16.8,109.7,103.0,4.94,12.3,3.4,3.32,3.0,MD,408.0,no,no,no
30,60.0,37.0,189.9,125.0,32.28,110.4,107.0,9.38,210.7,115.0,9.48,9.1,5.0,2.46,3.0,WY,510.0,yes,yes,no
31,97.0,0.0,100.8,74.0,17.14,233.8,88.0,19.87,208.7,79.0,9.39,12.6,3.0,3.4,2.0,AZ,415.0,no,no,no
32,92.0,0.0,138.1,131.0,23.48,175.7,128.0,14.93,192.7,119.0,8.67,10.0,3.0,2.7,3.0,IA,415.0,no,no,no
33,178.0,0.0,179.7,112.0,30.55,276.6,91.0,23.51,169.7,101.0,7.64,10.1,4.6,2.73,3.0,VT,510.0,no,no,no
34,90.0,30.0,191.3,104.0,32.52,257.1,109.0,21.85,177.7,89.0,8.0,11.0,1.0,2.97,1.0,KS,415.0,no,yes,no
35,72.0,0.0,168.3,76.0,33.302,212.4,126.0,18.05,200.2,132.0,9.01,12.0,3.0,3.24,2.0,MS,510.0,no,no,no
36,73.0,0.0,137.6,113.0,23.39,179.7,75.0,15.27,172.8,71.0,7.78,9.32,2.0,2.89,1.0,CA,415.0,no,no,yes
37,54.0,0.0,255.4,122.0,43.42,22.3,87.0,15.586,152.6,72.0,6.87,11.1,3.2,3.0,0.0,OH,415.0,no,no,no
38,161.0,0.0,166.2,125.0,26.01,279.4,78.0,23.75,181.0,85.0,8.026,13.4,6.0,3.62,1.0,NE,415.0,no,no,no
39,125.0,0.0,158.7,112.0,26.98,155.7,126.0,13.23,246.0,110.0,11.07,8.3,1.0,2.24,2.0,CA,510.0,yes,no,yes
40,194.0,0.0,201.04,103.4,43.91,306.0,88.0,20.622,241.8,106.0,10.88,13.6,4.0,3.67,1.0,OR,415.0,no,no,yes
41,69.0,40.0,77.0,106.0,13.09,161.7,94.0,13.74,188.6,82.0,8.49,12.5,3.2,3.38,1.0,MT,510.0,no,yes,no
42,141.0,33.0,168.4,84.8,28.63,185.1,106.0,15.73,220.0,78.0,9.9,11.0,4.0,2.97,2.0,WI,415.0,no,yes,no
43,98.0,11.0,307.2,65.0,52.22,138.6,97.0,11.78,381.6,99.0,8.538,10.2,4.0,2.75,2.0,SD,415.0,no,no,yes
44,110.0,0.0,175.6,91.0,29.85,236.5,127.0,20.1,170.7,114.0,8.77,9.5,8.0,2.57,0.0,OH,510.0,no,no,no
45,70.0,0.0,169.1,48.0,27.022,219.8,62.0,18.68,193.5,105.0,8.71,10.7,8.0,2.89,3.0,ME,415.0,no,no,no
46,72.0,0.0,190.7,111.0,32.42,241.6,103.0,20.54,278.1,95.0,12.51,4.4,3.0,1.19,1.0,NM,415.0,no,no,no
47,66.0,0.0,239.6,120.0,40.73,230.3,110.0,19.58,153.0,82.0,6.89,11.24,3.0,2.872,1.0,WV,415.0,no,no,no
